date,gbm
11/30/15,2080.616504
12/1/15,2081.502875
12/2/15,2083.827473
12/3/15,2084.57262
12/4/15,2083.895938
12/7/15,2084.823389
12/8/15,2086.935939
12/9/15,2088.383044
12/10/15,2089.978778
12/11/15,2091.164909
12/14/15,2091.913908
12/15/15,2092.572653
12/16/15,2093.780754
12/17/15,2094.992748
12/18/15,2093.745959
12/21/15,2095.760142
12/22/15,2094.484294
12/23/15,2095.742029
12/24/15,2096.938581
12/28/15,2096.198207
12/29/15,2097.208365
12/30/15,2096.071836
12/31/15,2096.80809
1/4/16,2098.930386
1/5/16,2097.670476
1/6/16,2097.072967
1/7/16,2097.193046
1/8/16,2095.907568
1/11/16,2095.874973
1/12/16,2094.947203
1/13/16,2097.8084
1/14/16,2104.268074
1/15/16,2103.760668
1/19/16,2098.268759
1/20/16,2097.136545
1/21/16,2097.076778
1/22/16,2098.085571
1/25/16,2095.182867
1/26/16,2099.69092
1/27/16,2102.248095
1/28/16,2104.107092
1/29/16,2108.968013
2/1/16,2104.733957
2/2/16,2106.589868
2/3/16,2108.320583
2/4/16,2106.894752
2/5/16,2110.270383
2/8/16,2111.298478
2/9/16,2110.223913
2/10/16,2114.115205
2/11/16,2113.611915
2/12/16,2116.599113
2/16/16,2117.352145
2/17/16,2120.304472
2/18/16,2121.384402
2/19/16,2120.301789
2/22/16,2122.006229
2/23/16,2122.323166
2/24/16,2124.879726
2/25/16,2126.435154
2/26/16,2125.809522
2/29/16,2125.720157
3/1/16,2127.190419
3/2/16,2126.767324
3/3/16,2123.101624
3/4/16,2123.900946
3/7/16,2129.355083
3/8/16,2127.225271
3/9/16,2130.441206
3/10/16,2127.318873
3/11/16,2126.417951
3/14/16,2123.949423
3/15/16,2120.022144
3/16/16,2123.686869
3/17/16,2125.209164
3/18/16,2126.266554
3/21/16,2123.92958
3/22/16,2123.17264
3/23/16,2124.078008
3/24/16,2125.143489
3/28/16,2131.192462
3/29/16,2128.240213
3/30/16,2127.606107
3/31/16,2133.064513
4/1/16,2135.192782
4/4/16,2137.28383
4/5/16,2138.423011
4/6/16,2140.340579
4/7/16,2142.697568
4/8/16,2143.255625
4/11/16,2144.677302
4/12/16,2145.629218
4/13/16,2146.956741
4/14/16,2148.989275
4/15/16,2148.930568
4/18/16,2149.466008
4/19/16,2150.630945
4/20/16,2150.903955
4/21/16,2152.559212
4/22/16,2153.811587
4/25/16,2155.681788
4/26/16,2156.074279
4/27/16,2157.508392
4/28/16,2160.190391
4/29/16,2159.499286
5/2/16,2159.847631
5/3/16,2159.949388
5/4/16,2159.181361
5/5/16,2160.76013
5/6/16,2161.036622
5/9/16,2163.946443
5/10/16,2165.270371
5/11/16,2167.040764
5/12/16,2168.936888
5/13/16,2170.428363
5/16/16,2171.450805
5/17/16,2171.698711
5/18/16,2173.112382
5/19/16,2174.440702
5/20/16,2175.430777
5/23/16,2176.748947
5/24/16,2178.41836
5/25/16,2178.98649
5/26/16,2181.796895
5/27/16,2182.266955
5/31/16,2182.582998
6/1/16,2185.296082
6/2/16,2185.460322
6/3/16,2188.945356
6/6/16,2188.263656
6/7/16,2190.332647
6/8/16,2193.445947
6/9/16,2195.030869
6/10/16,2194.652038
6/13/16,2198.015919
6/14/16,2196.904867
6/15/16,2197.440495
6/16/16,2199.37245
6/17/16,2200.299165
6/20/16,2201.877209
6/21/16,2203.379948
6/22/16,2206.041082
6/23/16,2206.611498
6/24/16,2208.282318
6/27/16,2206.959724
6/28/16,2209.684595
6/29/16,2209.55415
6/30/16,2208.006182
7/1/16,2210.813596
7/5/16,2209.863284
7/6/16,2211.624265
7/7/16,2211.329018
7/8/16,2212.270219
7/11/16,2212.386846
7/12/16,2212.98244
7/13/16,2217.141902
7/14/16,2218.759101
7/15/16,2216.558609
7/18/16,2217.977169
7/19/16,2226.068979
7/20/16,2222.867234
7/21/16,2223.274653
